"Code","Intitule","Credits","Domaine","Theme","Categorie","Enseignee_en","Responsable_Automne","Responsable_Printemps","Description","Niveau_conseille","Prerequis","Final","Conditions_evaluation","Conditions_attribution","Mots_cles","Objectif_formation","Objectifs_pedagogiques_specifiques","Objectifs_pedagogiques_transverses","Programme","Resulat"
"TN14 "," COMMANDE HYDRAULIQUE DE PUISSANCE","6","Outils et methodes de l'ingenieur","Outils et methodes de l'ingenieur","Techniques (TM-ST)","Automne","Eric NOPPE "," ","A l'issue de l'enseignement, l'etudiant sera capable d'utiliser la transmission de puissance hydraulique pour concevoir un systeme mecanique.","fin de branche IM","TN12, TN13, SY04 (ne pas oublier UV pour label hydraulique)","Oui","Automne : Etude de cas concret en groupe de 2 ou 3 avec restitution d'un rapport de projet. Examen final(l'utilisation des polycopies et des notes personnelles de cours et TD est autorisee a  l'examen final). ","Automne : Note attribuee : 50% etude de cas + 50% Examen Final "," hydraulique pneumatique composants hydrauliques pompes moteurs ","- utiliser la transmission de puissance hydraulique pour concevoir un systeme mecanique.","- decrire les phenomenes physiques en appliquant les lois de la mecanique des fluides; - choisir la technologie la plus appropriee pour repondre a  une demande de transmission de puissance; - selectionner les composantes hydrauliques adaptees a  l'application - concevoir et dimensionner un systeme hydraulique; - modeliser les composants et systemes hydrauliques a  l'aide du logiciel de simulation multi-physique Amesim; - definir les capteurs et lois de commandes adaptees; - valider le dimensionnement a  l'aide de la simulation. ","- presenter un dossier technique sur une application industrielle de la transmission hydraulique; - justifier des choix techniques ; - travailler en equipe. ","Cours theorique et appliques: Approche systeme, Composants et technologie. Travaux diriges : exemples industriels concrets, introduction du logiciel de simulation (Amesim). Conferences techniques : La transmission hydrostatique, application on-road et off-road, L'hydraulique aeronautique (exigences et technologies)","Concevoir et dimensionner une fonction transmission de puissance hydraulique Connaitre la technologie , les avantages et inconvenient des systemes hydrauliques Connaitre les principales applications industrielles, les fournisseurs et l'etat de l'art"
"TN20 "," CAO ","6","Outils et methodes de l'ingenieur","Outils et methodes de l'ingenieur","Techniques (TM-ST)","Automne, Printemps","Matthieu BRICOGNE-CUIGNIERES ","Alain RASSINEUX ","A l'issue de cet enseignement, l'etudiant doit Ãªtre capable de creer des representations graphiques numeriques afin de supporter la collaboration lors des activites de conception. Cet enseignement permet notamment aux etudiants de maÃ®triser les bases des logiciels de CAO et la methodologie ""squelette"".","GX01","Methodologies de conception des systemes mecaniques","Oui","Automne : Projet: 50% Examen final sur le cours: 10% Examen final sur ordinateur: 40% Printemps : Controle continu, TD, TP : 60 % Examen final : 20 % Examen sur console : 20 % Note eliminatoire : 6 au final, 5 a  l'examen sur console","Automne : Obtenir la moyenne "," Assemblage Modelisation parametrique a  base de features Methodologies de collaboration Modelisations volumique et surfacique ","- creer des representations graphiques numeriques afin de supporter la collaboration lors des activites de conception.","- conn'aitre les differents types de modelisation 3D; - differencier les methodes de modelisation geometrique; - determiner la strategie de modelisation pour creer les representations graphiques numeriques adaptees aux differents besoins; - distinguer differentes methodes facilitant la collaboration, la reutilisation et le partage de connaissances; - saisir les enjeux lies a  l'usage de la Conception Assistee par Ordinateur dans l'industrie manufacturiere; - determiner les usages de la Conception Assistee par Ordinateur dans l'industrie manufacturiere; - creer et gerer une nomenclature produit dans un logiciel de CAO; - realiser une piece mecanique grace a  la modelisation volumique; - realiser une piece aux formes complexes grace a  la modelisation surfacique; - mettre en oeuvre une methode facilitant la collaboration et la reutilisation; - manipuler deux logiciels de CAO issus de deux editeurs differents; - retro-modeliser un systeme complexe existant constitue d'une vingtaine de pieces. ","- presenter le resultat de leur retro-modelisation sous la forme d'une video et lors d'une soutenance orale - enoncer les enjeux lies a  l'usage de la Conception Assistee par Ordinateur dans leur entreprise ","",""
"TN21 "," GESTION DU CYCLE DE VIE DU PRODUIT ET INGÃ‰NIERIE COLLABORATIVE","6","Outils et methodes de l'ingenieur","Outils et methodes de l'ingenieur","Techniques (TM-ST)","Automne","Julien LE DUIGOU "," ","Cet enseignement vise Ã  apprehender le processus de conception produit dans un contexte multidisciplinaire et collaboratif. Cela necessitera d'apprehender les outils supports Ã  ce processus integrant l'ensemble du cycle de vie du produit (PLM) mais aussi les informations issues de l'utilisation et de la fin de vie du produit (Internet of Things, realite augmentee et analyse de donnees).","Gx04 et Gx05","TN20; TN12","Oui","Automne : Median sur machine 50% : Partie PLM (Cours et TD) Examen final sur machine 50% : Partie IoT et IA (Cours et TD) ","Automne : Attribution de l'UV si la note globale est superieure a  10. "," PLM Realite augmentee Analyse de donnees IoT ","- organiser la conception d'un produit complexe dans un contexte multidisciplinaire et collaboratif","- decrire les differentes methodes de conception produit et le cycle de vie du produit; - organiser un projet de conception; - structurer les differentes expertises (dimensionnement/simulation/fabrication) sur un meme produit; - gerer les differentes evolutions du produit tout au long de son processus de conception; - utiliser les differents standards pour faciliter la collaboration et l'echange de donnees. ","- conduire un projet de conception produit; ","Le programme s'articule autour de 3 axes : - travail collaboratif, - gestion de la maquette numerique - integration conception/simulation, conception/fabrication"," "
"TN22 "," Ã‰LÃ‰MENTS DE BUREAU D'Ã‰TUDES","6","Outils et methodes de l'ingenieur","Conception, fabrication","Techniques (TM-ST)","Automne","Kamel KHELLIL "," ","A l'issue de la formation, l'etudiant sera capable de concevoir des solutions constructives classiques pour des systemes mecaniques usuels.","Debutant et peu initie","","Oui","Automne : Examen Median : 33,33 % Examen Final : 33,33 % Travaux Diriges : 33,33 % Printemps : - Controle continu CC sur la partie a  rendre de la majorite des TD - Oraux O : interrogations orales aleatoires sur les parties non rendues des TD et sur le cours - Examen final F","Automne : Moyenne egale a  : M = 10/20 M = 1/3(EM+EF+TD) Printemps : Moyenne M de 10/20 min avec M = 40% CC + 20% O + 40% F et CC et O de 10/20 min."," tolerancements vocalulaire technique cotations plans systemes mecaniques schematisations pieces standard CAO fabrication materiaux ","- concevoir des solutions constructives classiques pour des systemes mecaniques usuels.","- interpreter le contenu d'un plan d'ensemble ou de definition d'une piece mecanique; - construire des plans ou schemas de systemes ou pieces mecaniques en conformite avec les normes et regle en pratique; - identifier les principales liaisons mecaniques; - choisir des solutions technologiques usuelles pour les principales liaisons mecaniques; - definir les tolerances geometriques pour des assemblages simples; - dimensionner un systeme de transmission de puissance simple; - modeliser par CAO des pieces mecaniques simples; - construire par CAO des ensembles mecaniques simples.","- concevoir un produit ou un systeme simple; - dimensionner et valider les performances d'un produit.","I- Representation graphique -projection orthogonale II- Notion de volume -creation d'une forme geometrique -aperçu des principaux procedes de fabrication III- Notion d'efforts et de contraintes -vocabulaire -principales sollicitations, proprietes IV- Etude des liaisons -isostatisme, degre de liberte -caractere d'une liaison -notion de schematisation V- Cotation et ajustements -cotation, cotation tolerancee -cotation fonctionnelle VI- Designation des materiaux -normalisation -principales proprietes VII-Etude de quelques procedes de fabrication -cas du moulage (sable, carapace, coquille, matieres plastiques) -cas de l'estampage, matriçage VIII-Fonction guidage -translation -rotation IX- Lubrification X- Batis et carters XI- Etanchea¯te XII-Transmission de puissance -etude de quelques cas","Autonomie dans l'etude de dossiers techniques (analyses technologiques, lecture de plans) et dans la proposition de solutions technologiques (schematisation et realisation de plans)."
"TN23 "," TECHNIQUES DE FABRICATION","6","Outils et methodes de l'ingenieur","Conception, fabrication","Techniques (TM-ST)","Automne","JerÃ´me BLANC "," ","L'UV presente les outils necessaires aux futurs ingenieurs pour resoudre et optimiser des problemes lies Ã  un processus de fabrication (conventionnel ou non) pour des materiaux metalliques. A l'issue de l'enseignement, l'etudiant sera capable de trouver et optimiser le processus de fabrication mecanique le plus adapte Ã  une piece en fonction de ressources materielles disponibles.","TN01, lecture d'un plan","Interpreter un dessin de definition de produit","Oui","Automne : Median + Final + TP + Controle continu ","Automne : 0.2*Median + 0.3*Final + 0.1*Controle Cont. + 0.4*T. P. attribution a  10 (Median + final)/ 2 >= 7 eliminatoire T P > = 10 eliminatoire T. P. obligatoires "," principe de l'independance avant projet d'etude de fabrication polymeres composites coupe coa»t moulage estampage matriçage metrologie ","- trouver et optimiser le processus de fabrication mecanique le plus adapte a  une piece en fonction de ressources materielles disponibles.","- analyser la cotation d'un dessin de definition d'un produit; - acquerir une approche des methodes d'usinage; - realiser des operations d'usinage elementaires; - tracer une piece brute de fonderie; - elaborer un avant projet d'etude de fabrication; - choisir une cinematique et les capacites de machines-outils adaptee a  des operations d'usinage; - acquerir des notions de coa»t; - optimiser une operation d'usinage en fonction du coa»t, du taux de production. ","- specifier et definir les modalites d'industrialisation.","Mise en oeuvre de machines outils CNC (fraiseuse, tour) Mise en oeuvre de composites et polymeres Mesurage sur machine MMT a  commande numerique Conception d'un porte piece par des elements modulaires Mise en evidence des dispersions sur un banc de prereglage et sur une MOCN Conditions de coupe (mise en evidence de l'influence du rayon de pointe de l'outil sur l'etat de surface, et elaboration d'un diagraphe brise-copeaux sur tour CNC","proposer un ordonnancement logique de fabrication d'une piece en fonction du contexte (petite, moyenne ou grande serie...), et du parc machines envisage valider un processus en prenant en compte les dispersions Faire une etude d'optimisation des conditions de coupe en fonction d'un critere economique"
"TN24 "," TECHNOLOGIES DE FABRICATION ET OUTILS MÃ‰THODES","6","Outils et methodes de l'ingenieur","Conception, fabrication","Techniques (TM-ST)","Printemps"," ","Alexandre DURUPT ","Mise en oeuvre d'usinage sur machines-outils Ã  commande numerique (MOCN). Des etudes concretes et approfondies seront realisees. L'UV revelera l'environnement materiel et numerique des MOCN au sein d'un atelier et d'une usine de production. Les variantes en termes d'equipements facilitant la flexibilite et la productivite en production seront abordees.","De GX02 Ã  GX05 Prerequis : Modelisation geometrique 3D -Mise en oeuvre des machines outils et realisations d'usinages","","Oui"," Printemps : Examen (FAO) : 45 % Controle Continu Projet : 35 % Controle continu cours/TD : 20% "," Printemps : 10/20 a  l'UV"," identification communication machines autonomes cellules et ateliers flexibles axes normalises des MOCN programmation manuelle FAO simulation de l'usinage outils equipement et environnement des MOCN ","De modeliser et mettre en place une gamme FAO (Fabrication Assistee par Ordinateur) mais egalement d'integrer et d'analyser l'environnement materiel et numerique de la FAO au sein d'un atelier et d'une usine de production.","- Identifier la finalite industrielle de la FAO dans la chaine numerique de conception : industrialisation a  l'echelle d'un atelier et d'une usine de production. - Localiser la FAO dans les systemes d'entreprise PLM (Product Life Management) et MPM (Manfacturing Process Management) - Mettre en pratique la continuite numerique entre le bureau d'etudes et le bureau des methodes. - Demontrer la fabricabilite d'une piece mecanique a  partir des modeles CAO (Conception Assistee par Ordinateur) - Decrire une strategie de fabrication et identifier des alternatives de procedes de fabrication (UGV, Decoupe laser/eau, Fabrication Additive metal etc.) - Choisir et Adapter une strategie d'usinage a  la realite des machines disponibles d'un atelier. - Structurer une gamme FAO pour sa mise en oeuvre sur Machine-Outil a  Commande Numerique. ","","1-Les Machines Outils a  Commande Numerique (MOCN) : Normalisation des axes des MOCN - Langages de programmation ( ISO - APT) - Programmation manuelle - Programmation automatique (FAO) - Integration Conception Methodes Fabrication et Controle - Origines en CN - Correcteurs d'outils 2-Programmation du Centre d'Usinage Horizontal 4 axes REALMECA equipe d'un directeur de commande numerique NUM1060 : Programmation elementaire - Cycles preprogrammes - Programmation structuree - Programmation de contours complexes - Programmation parametree 3-Programmation des tours : Fonctions generalement disponibles sur les tours - Exemple (DCN NUM, DCN FANUC) 4-Environnement des machines outils a  commande numerique : 4-1- Porte outils et Porte pieces - Systemes specifique/modulaire - Systemes d'identification - Interfaçage des porte-outils avec la machine et avec l'outil - Bancs de mesure et de prereglage des outils assembles - Magasins d'outils et changeurs d'outils automatique - Chargement des correcteurs d'outils sur la machine - Magasins de pieces et changeurs de pieces 4-2- Surveillance automatique de l'usinage : - Capteurs - Palpeur - Organisation de la maintenance de la machine 4-3- Systemes flexibles de fabrication : Flexibilite et Productivite - Changements rapides de production - Groupements de pieces par familles - Groupements de machines par familles de pieces - Manutention automatique des pieces TRAVAUX DIRIGES : -programmation manuelle : Centre d'Usinage REALMECA -programmation assistee par ordinateur avec les modules FAO du logiciel de CFAO : CATIA v5 de Dassault Systemes -simulation de l'usinage sur ordinateur avec logiciel d'USINAGE VIRTUEL : NCSIMUL de Spring -validation d'usinages
 sur MOCN : Centre d'Usinage REALMECA et Tour EMCO (commande numerique FANUC 0T)",""
"TN29 "," OUTILS DE DÃ‰FINITION ET DE DÃ‰VELOPPEMENT DE SYSTÃˆMES","6","Outils et methodes de l'ingenieur","Conception, fabrication","Techniques (TM-ST)","Printemps"," ","Matthieu BRICOGNE-CUIGNIERES ","A l'issue de cet enseignement, l'etudiant doit Ãªtre capable de comprendre le rÃ´le et de manipuler differents outils de definition et de developpement de systemes. Cet enseignement s'interesse notamment aux phases de conception preliminaire (ingenierie et simulation systeme) et detaillee (conception collaborative et Knowledge Based Engineering).","IM 04 (ou eventuellement IM 02)","TN02 (ou TN12), TN20","Oui"," Printemps : Un projet ou un court examen permettra d'evaluer vos connaissances/competences pour chacune des parties de l'UV"," Printemps : Avoir la moyenne"," Product Data Management CAO Knowledge Based Engineering Conception collaborative Model Based System Engineering SysML Simulation systeme Ingenierie Systeme ","- comprendre la structuration d'un processus de conception et manipuler differents outils de definition et de developpement de systemes.","- comprendre le role et l'interet des principales approches, processus, methodes et outils mobilisables lors de la conception d'un systeme multidisciplinaire - comprendre l'interet et les enjeux d'une approche d'Ingenierie Systeme et pouvoir y contribuer; - modeliser un systeme a  l'aide d'un formalisme de type SysML (MBSE); - simuler un systeme multiphysique et determiner ses principales performances; - comprendre les enjeux lies a  la gestion de connaissances, notamment dans le contexte de la conception; - choisir et mettre en oeuvre differentes fonctionnalites de partage de connaissances integrees a  un logiciel de CAO; - saisir les enjeux lies au partage de documents techniques dans le processus de collaboration pour la conception; - manipuler les fonctionnalites de base des solutions de type Product Data Management (PDM) d'un point de vue utilisateur;","- manipuler des solutions de collaboration pour mener a  bien des projets; ","",""
"TN30 "," SÃ‰MINAIRES SUR LA TRANSFORMATION NUMÃ‰RIQUE POUR L'INGÃ‰NIERIE MÃ‰CANIQUE","3","Outils et methodes de l'ingenieur","Outils et methodes de l'ingenieur","Techniques (TM-ST)","Printemps"," ","Pascal LARDEUR ","Cette UV a pour objectif de presenter aux etudiants les metiers associes Ã  la XAO. Les interventions sont assurees par des professionnels issus de grands groupes industriels, de PME, de societes de services, de centres techniques. Les domaines developpes sont : Conception Assistee par Ordinateur, Ingenierie Assistee par Ordinateur, Fabrication Assistee par Ordinateur, Product Lifecycle Management, Enterprise Resource Planning, Realite Virtuelle.","IM01 et +","aucun","Oui"," Printemps : 1) comptes-rendus de seminaires : 60 % 2) examen final : 40 %"," Printemps : 1) Moyenne generale > 10/20 2) Presence aux seminaires (autorisation de 1 absence avec justification) "," CAO RV IAO GPAO FAO ERP PLM milieu professionnel transformation numerique ","- integrer les notions liees aux metiers associes a  la XAO dans un contexte professionnel.","- decrire les metiers associes a  la XAO; - choisir les domaines prioritaires a  developper dans un contexte professionnel; - rediger un document scientifique et technique en respectant un cahier des charges donne. ","- communiquer a  l'ecrit de façon synthetique les connaissances acquises a  travers les seminaires;","",""
"TO01 "," MODULE DE PRÃ‰PARATION AU TOEIC","2","Sciences de la communication","Anglais","Technologie et Sciences de l'Homme","Automne","Marleen VERLHAC "," ","Cette UV prepare les etudiants au TOEIC ""Listening and Reading"". Le TOEIC ( Test of English for International Communication) est un test qui evalue l'aptitude des personnes non anglophones Ã  comprendre l'anglais dans un contexte de communication internationale.","Branche, fin de parcours ","niveau B2 en anglais valide ou en cours de validation","Oui","Automne : Controle continu: Homework obligatoire pour chaque seance, et Minitests. Test final obligatoire pour valider le travail d'ects, dernier jour du cours. Passage du TOEIC officiel en fin de semestre - c'est l'EXAMEN FINAL. Printemps : Controle continu avec les devoirs a  rendre toutes les 2 semaines, 2 a  3 minitests a  chaque TD, dont 4 tests plus consequents a  la fin du TD qui sont notes. Passage du TOEIC, Passage du ""test final"" au dernier TD obligatoire pour valider les 2 ects.","Automne : Devoirs et assiduite aux cours : 1 absence justifiee est toleree. Moyenne au controle continu. Passage du test final lors du dernier TD (TD7). Score minimum de 700/990 au TOEIC. (score requis pour le diplome d'ingenieur = 785) Printemps : Participation a  la preparation a) Presence aux TD obligatoire, toute absence doit aªtre justifiee Moyenne au controle continu Score minimum de 700/990 au TOEIC "," Test d'anglais Comprehension ecrite Comprehension orale QCM ","arriver au score minimum de 785/990 au TOEIC, niveau B2 requis pour l'obtention du diplome d'ingenieur, OU arriver au score de 700/990 pour valider l'UV, avec obligation de repasser un test externe pour valider le niveau B2 an anglais.","","","Cette UV se reunit toute les deux semaines (A ou B) et permet l'obtention de 2 ects. Nous voyons la plupart du manuel de preparation ""Tactics for TOEIC, Listening and Reading.""","L'UV est valide a  partir de l'obtention d'un score de 770/990 au TOEIC officiel (et la validation des autres exigences de l'UV). Ceci montre que l'etudiant comprend l'essentiel des strategies de passage, mais a besoin de plus de connaissances en anglais pour re-passer le TOEIC afin d'obtenir le score minimum requis pour le diplome d'ingenieur. Il n'aura pas besoin de refaire l'UV pour repasser le TOEIC."
"TO02 "," MODULE DE PRÃ‰PARATION AU TOEFL","2","Sciences de la communication","Anglais","Technologie et Sciences de l'Homme","Automne","Lynne FOREST "," ","Cette UV prepare les etudiants au TOEFL iBT (Internet-Based Test). Le test TOEFL administre sur ordinateur via Internet (iBT) prepare les etudiants Ã  communiquer en anglais dans un contexte universitaire en faisant appel Ã  4 competences cles : Comprehension ecrite, Comprehension orale, Expression orale, Expression ecrite","Branche","niveau B2 valide ; LA13 minimum valide avec A ou B","Oui","Automne : Controle continu Examen Final Printemps : Controle continu Passage du TOEFL iBT","Automne : Moyenne au controle continu Obtention d'un score de 87/120 minimum a  l'examen Final Printemps : Moyenne au controle continu Obtention d'un score de 87/120 minimum au TOEFL iBT"," ","","","","",""
"TS01 "," MAÃŽTRISE DES RISQUES","6","Outils et methodes de l'ingenieur","Qualite, fiabilite, securite","Techniques (TM-ST)","Printemps"," ","Jean ESCANDE ","Fournir les principes de base de la maÃ®trise des risques dans differents domaines (risque industriel, accident du travail, risque environnemental, risque produit, gestion de crise et risk-management). Pour chacun d'eux presentation des accidents ou des crises exemplaires, des aspects reglementaires et des methodes Ã  mettre en oeuvre. Les TD privilegieront l'apprentissage de quelques methodes parmi les plus universelles.","Gx02 et plus Prerequis : TN09 est un plus","","Oui"," Printemps : Examen median : 50 % Examen final : 50 %"," Printemps : 10/20"," APR Arbre d'evenement Etude des dangers AMDEC HAZOP Equivalent TNT Arbre des causes Arbre de defaillance ","- d'identifier les risques, les caracteriser et proposer des solutions pour les m'aitriser.","- comprendre le contexte et les risques qui lui correspondent; - selectionner les methodes appropriees pour traiter la situation; - mettre en oeuvre ces methodes (Analyse preliminaire des risques, AMDEC, HAZOP, arbre de defaillance, arbre d'evenements et arbre des causes); - batir un plan de m'aitrise des risques. ","- developper une curiosite vis-a -vis des faits incongrus, susceptibles de reveler des dysfonctionnements presents ou a  venir; - developper des raisonnements analogiques pour utiliser des cas d'accidents observes dans des situations non identiques; - rechercher des informations pertinentes dans le domaine normatif et reglementaire. ","","Aptitude a  intervenir dans des entreprises oa¹ la securite et la m'aitrise des risques sont devenues des preoccupations importantes. Comprendre et m'aitriser les regles et dispositifs de securite developpes dans les groupes industriels, sites de production, laboratoire et autres lieux de travail. Prise en compte conjointe de plusieurs aspects de la m'aitrise des risques. "
"TS02 "," MAÃŽTRISER LES RISQUES PROCÃ‰DÃ‰S ET LES RISQUES MAJEURS","6","Outils et methodes de l'ingenieur","Qualite, fiabilite, securite","Scientifiques (CS-ST)","Automne","Christophe PROUST "," ","l'UV donne acces Ã  une competence en resolution de problemes de securite centres autour des risques collectifs (explosions, incendies, fuites massives)qui affectent les procedes et les riverains de l'usine.","Fin de branche GP","Connaissances de base en mecanique des fluides, transferts thermiques, bilans et conception de procedes","Oui","Automne : examen partiel, examen final, Atelier projet ","Automne : Atelier projet : 40 % Examen median : 30 % Examen final : 30 % "," sa»rete danger risques majeurs genie des procedes feux  methodes d'analyse des risques Incendies accidents industriels Explosion risques procedes ","- Concevoir une unite industrielle et en minimiser les impacts -communiquer","- identifier les scenarios d'accident et les hierarchiser; - choisir l'information pertinente (fiche de securite, les debits, les tailles); - calculer les consequences (distance des faits) des fuites toxiques des incendies et des explosions; - choisir les barrieres de securites et calculer leurs efficacites - rediger une etude de risque ","- concevoir et dimensionner une installation industrielle; - calculer des debits, des echanges thermiques transitoires; - travailler et gerer un projet en equipe; - rediger un rapport technique et scientifique. ","Faire decouvrir en cours, les problemes que pose la securite operationnelle. Faire acquerir en TD un savoir faire methodologique en calcul de sa»rete previsionnelle. Faire mettre en pratique en TP sur un cas concret la demarche d'evaluation des risques selon les dangers et precautions prises.","Savoir identifier les dangers des procedes, des systemes et des organisations. Savoir utiliser les methodes actuelles d'evaluation de la sa»rete et des risques. Etre sensibilise a  ce que signifie aujourd'hui dans l'IC une demarche de progres de la securite."
"TSN1 "," TECHNOLOGIE, SPORT ET SANTÃ‰ 1","6","Sciences du vivant","Sante et medical","Techniques (TM-ST)","Automne, Printemps","Frederic MARIN ","Frederic MARIN ","Le theme Â«Sport et SanteÂ» est devenu un enjeu de societe et de sante publique. L'objectif de cet enseignement est double : par la mise en situation (simulation du vieillissement, surcharge ponderale, baisse de l'acuite visuelle ou auditive), l'etudiant mesurera l'impact de ces deficiences dans le cadre de l'activite physique. En parallele sera apprehendee une palette d'outils de quantification et d'evaluation de l'activite physique et sportive.","","","Non"," Printemps : Controle continu sur 5 devoirs au cours du semestre "," "," ","","","","",""
"TSN2 "," TECHNOLOGIE, SPORT ET SANTÃ‰ 2","5","Sciences du vivant","Sante et medical","Techniques (TM-ST)","Printemps"," ","Frederic MARIN ","TSS02 sera consacre Ã  la realisation d'une preuve de contexte, d'un prototype, d'une solution technique, d'une application pour le monitoring d'une pratique sportive specifique (athletisme, equitation, escrime, aviron, badminton, tir Ã  l'arc, Tai Chi, Pilates,...) ou la realisation d'un equipement ou d'un service pervasif pour la prevention ou la preservation de l'autonomie de la personne.","GX2 - GX4","TSS01","Non","Automne : Controle continu Printemps : Controle continu sur 4 jalons ","Automne : Jury final fin juin au Conservatoire de musique de Compiegne (2/3) Concert musique de chambre (1/3) "," Technologie internet des objects Sport  Sante  Biomecanique Monitoring ","Identifier les enjeux de la thematique ""technologie sport sante"" et faire une preuve de concept ","","","",""
"TX00 "," Ã‰TUDE EXPÃ‰RIMENTALE","5","Outils et methodes de l'ingenieur","Outils et methodes de l'ingenieur","Techniques (TM-ST)","Automne, Printemps","Claude-Olivier SARDE ","Claude-Olivier SARDE ","l'UV TX est une UV technique appartenant Ã  la categorie ""Techniques et Methodes"" (TM). Elle permet aux etudiants de realiser un projet technique concret mettant en oeuvre une approche d'ingenierie.","TC03,04-Gx02,04,05","","Non","Automne : Redaction d'un rapport ecrit et presentation orale du travail. Printemps : Redaction d'un rapport et presentation orale du travail","Automne : Evaluation du rapport ecrit et de la soutenance orale a  parts egales (50 % + 50 %). Printemps : Evaluation du rapport ecrit et de la soutenance orale a  parts egales (50 % + 50 %)"," probleme technique ingenierie analyse critique ","","","","",""
"TZ "," Ã‰TUDE EXPÃ‰RIMENTALE","0","Non renseigne","Non renseigne","Techniques (TM-ST)","Automne, Printemps","Claude-Olivier SARDE ","Claude-Olivier SARDE ","","","","Non","Automne : Redaction d'un rapport ecrit et presentation orale du travail. Printemps : Redaction d'un rapport et presentation orale du travail","Automne : Evaluation du rapport ecrit et de la soutenance orale a  parts egales (50 % + 50 %). Printemps : Evaluation du rapport ecrit et de la soutenance orale a  parts egales (50 % + 50 %)"," ","","","","",""
"UB01 "," VOIRIE ET RÃ‰SEAUX DIVERS","6","Genie civil, genie urbain, amenagement","Genie civil, genie urbain, amenagement","Techniques (TM-ST)","Printemps"," ","Hipolito MARTELL FLORES ","Ce cours introduit l'etudiant au domaine des ""Travaux PublicsÂ» en zone urbaine. Il explique les logiques de fonctionnement, de distribution et de conception de reseaux d'abduction d'eau potable, d'evacuation des eaux usees, des projets de voirie et dimensionnement des chaussees. L'etudiant obtiendra les bases theoriques et techniques de conception ainsi que les methodologies de planification de travaux.","GU04 et GU05","UR03","Non"," Printemps : Median 33% Projet 33% Final 33%"," "," Abduction d'eau Reseaux urbains Voirie Assainissement Travaux Publics ","concevoir et developper des projets de travaux de voirie et de reseaux enterres divers en zone urbaine. Ceci depuis la phase de conception des reseaux, leur dimensionnement, la planification des travaux et l'etablissement du budget de travaux.","- calculer les besoins de services AEP, EU en zone urbaine ; - concevoir la topologie des reseaux et dimensionner leur infrastructure enterree ; - planifier les travaux necessaires a  la construction des reseaux enterres et des chaussees ; - dimensionner les chaussees et planifier leurs travaux ; - etablir les budgets de travaux de voiries et de reseaux divers. ","- identifier les implications potentielles des travaux de voirie et de reseaux divers sur le reste des activites urbaines (habitat, commerce, circulation automobile, etc.) ; - realiser un projet depuis la phase de conception jusque a  la phase d'elaboration de budget ; - cooperer au sein d'une equipe ; - valoriser les resultats d'un projet sur la forme de memoire du projet et d'une presentation orale. ","",""
"UB02 "," SYSTÃˆMES DE TRANSPORT URBAIN","6","Genie civil, genie urbain, amenagement","Genie civil, genie urbain, amenagement","Techniques (TM-ST)","Automne","Hipolito MARTELL FLORES "," ","La planification urbaine necessite des transports comme outil pour realiser la delocalisation/relocalisation des activites urbaines. L'UV introduit l'etudiant au domaine des transports et aux logiques de fonctionnement et planification de systemes de transport urbain. L'etudiant apprendra la theorie et techniques necessaires Ã  la modelisation des reseaux et Ã  la conception des services et de projets d'infrastructures de transport urbain.","GU04 - GU05","","Oui","Automne : -Median : 30 % - Projet : 30 % - Examen final (2 heures) : 30 % - Implication personnelle : 10% ","Automne : Avoir obtenu au moins une note en dessus de 10/20 pour le examens et pour le projet "," Projet de transports Planification urbaine Reduction de nuisances du au transports Transports en commun Modelisation des reseaux ","planifier et dimensionner des systemes de transport ainsi que de concevoir des projets d'insertion des infrastructures de transport en zone urbaine. ","- identifier les problematiques de mobilite et des transports en zone urbaine; - identifier de maniere precise les composants des problematiques de mobilite en vue de leur resolution; - appliquer des modeles theoriques pour modeliser les flux de personnes dans les zones urbaines; - identifier les solutions de transport les plus adaptes aux problemes identifies et a  la demande; - dimensionner les solutions de transport preconisees et le transformer en projet d'amenagement urbain. ","- identifier les implications potentielles des projets de transport sur le reste des activites urbaines (habitat, commerce, tertiaire, etc.); - identifier les impacts socio-economiques des projets de transport; - realiser un projet depuis la phase de planification jusque a  la phase de conception; - cooperer au sein d'une equipe; - valoriser les resultats d'un projet sur la forme de memoire du projet et d'une presentation orale. ","",""
